join_email,email_principal,nome_completo,cpf,telefone,programa,estado_raw,cidade_raw,genero_raw,data_nascimento,data_inscricao,fonte_candidato
pedro.câmara@yahoo.com.br,pedro.câmara@yahoo.com.br,Pedro Câmara,836.102.547-26,+5555329006267,CAMPINHO DIGITAL,PA,Vargas,Homem Cis,1999-01-19,2026-05-08 03:59:38,Instagram
antony.nascimento@terra.com.br,antony.nascimento@terra.com.br,Antony Nascimento,089.467.135-93,+5555289038739,CAMPINHO DIGITAL,PI,Guerra Verde,Homem Cis,1989-07-03,2026-06-26 03:59:38,Instagram
sara.da paz@bol.com.br,sara.da paz@bol.com.br,Sara da Paz,837.194.265-64,+5555499606884,CAMPINHO DIGITAL,MG,Rios do Oeste,Homem Cis,2005-07-28,2026-05-09 03:59:38,Google Search
francisco.siqueira@terra.com.br,francisco.siqueira@terra.com.br,Francisco Siqueira,710.952.683-68,+5555359336837,CAMPINHO DIGITAL,MS,Viana de Vargas,Não Informado,1999-01-27,2026-04-28 03:59:38,YouTube
maria fernanda.cassiano@hotmail.com,maria fernanda.cassiano@hotmail.com,Maria Fernanda Cassiano,816.309.245-98,+5555829559176,CAMPINHO DIGITAL,MT,da Cunha do Sul,Mulher Cis,1985-02-27,2026-07-15 03:59:38,YouTube
luna.campos@uol.com.br,luna.campos@uol.com.br,Luna Campos,086.475.923-10,+5555949713723,CAMPINHO DIGITAL,PA,Cavalcante,Mulher Cis,1978-03-07,2026-05-16 03:59:38,
anna liz.rios@live.com,anna liz.rios@live.com,Anna Liz Rios,014.395.627-25,+5555979281859,CAMPINHO DIGITAL,PB,Montenegro,Homem Cis,1997-04-12,2026-05-07 03:59:38,Instagram
davi.novais@outlook.com.br,davi.novais@outlook.com.br,Davi Novais,927.563.081-02,+5555659076968,CAMPINHO DIGITAL,DF,Vargas Grande,Não Informado,1992-11-14,2026-06-10 03:59:38,
luiz miguel.costela@uol.com.br,luiz miguel.costela@uol.com.br,Luiz Miguel Costela,630.512.984-33,+5555869147284,CAMPINHO DIGITAL,SP,Souza,Homem Cis,1994-11-23,2026-04-21 03:59:38,Facebook
rodrigo.pinto@yahoo.com.br,rodrigo.pinto@yahoo.com.br,Rodrigo Pinto,873.609.521-40,+5555359021847,CAMPINHO DIGITAL,AP,Souza da Mata,Homem Cis,1983-07-25,2026-05-28 03:59:38,
ryan.gomes@hotmail.com,ryan.gomes@hotmail.com,Ryan Gomes,617.439.825-00,+5555199382280,CAMPINHO DIGITAL,BA,Viana,Não Informado,1980-01-23,2026-05-14 03:59:38,Google Search
gabrielly.aparecida@outlook.com.br,gabrielly.aparecida@outlook.com.br,Gabrielly Aparecida,605.137.298-95,+5555419978783,CAMPINHO DIGITAL,RN,Araújo,Não Informado,1997-03-07,2026-05-03 03:59:38,Facebook
milena.pinto@icloud.com,milena.pinto@icloud.com,Milena Pinto,519.673.284-55,+5555919309381,CAMPINHO DIGITAL,PB,Nunes do Sul,Homem Cis,1977-10-05,2026-05-20 03:59:38,LinkedIn
maria julia.costela@yahoo.com.br,maria julia.costela@yahoo.com.br,Maria Julia Costela,284.507.136-17,+5555479830964,CAMPINHO DIGITAL,RR,Moraes,Homem Cis,1977-05-28,2026-07-13 03:59:38,Instagram
isaac.carvalho@terra.com.br,isaac.carvalho@terra.com.br,Isaac Carvalho,670.982.513-21,+5555619487937,CAMPINHO DIGITAL,CE,Cirino do Campo,Mulher Cis,1986-07-25,2026-06-28 03:59:38,Indicación
benicio.pinto@live.com,benicio.pinto@live.com,Benicio Pinto,594.837.016-00,+5555249627255,CAMPINHO DIGITAL,PB,Costela,Mulher Cis,2004-09-11,2026-04-21 03:59:38,Facebook
theo.sousa@bol.com.br,theo.sousa@bol.com.br,Theo Sousa,483.192.670-13,+5555919193769,CAMPINHO DIGITAL,MG,Fogaça,Não Informado,1985-12-31,2026-06-24 03:59:38,LinkedIn
cauã.fogaça@gmail.com,cauã.fogaça@gmail.com,Cauã Fogaça,567.108.249-85,+5555939862581,CAMPINHO DIGITAL,PB,Nunes de Costela,Mulher Cis,2002-08-12,2026-06-10 03:59:38,Google Search
calebe.mendes@uol.com.br,calebe.mendes@uol.com.br,Calebe Mendes,896.327.540-00,+5555459368185,CAMPINHO DIGITAL,GO,Freitas da Mata,Mulher Cis,1978-08-05,2026-05-21 03:59:38,Instagram
maria vitória.da mota@bol.com.br,maria vitória.da mota@bol.com.br,Maria Vitória da Mota,832.061.945-98,+5555119275933,CAMPINHO DIGITAL,MA,Peixoto de da Mota,Homem Cis,1987-02-05,2026-05-11 03:59:38,YouTube
emanuelly.marques@live.com,emanuelly.marques@live.com,Emanuelly Marques,370.982.564-47,+5555669523448,CAMPINHO DIGITAL,RR,Lima do Amparo,Mulher Cis,2006-12-26,2026-06-29 03:59:38,Google Search
elisa.leão@bol.com.br,elisa.leão@bol.com.br,Elisa Leão,047.832.695-56,+5555759668376,CAMPINHO DIGITAL,RR,Ferreira,Homem Cis,1981-04-14,2026-06-15 03:59:38,Google Search
maria helena.da luz@yahoo.com.br,maria helena.da luz@yahoo.com.br,Maria Helena da Luz,978.103.654-01,+5555549808308,CAMPINHO DIGITAL,SE,Camargo Paulista,Mulher Cis,1998-05-04,2026-06-19 03:59:38,LinkedIn
davi luiz.teixeira@uol.com.br,davi luiz.teixeira@uol.com.br,Davi Luiz Teixeira,925.130.876-40,+5555519175489,CAMPINHO DIGITAL,DF,Mendes de Almeida,Mulher Cis,1977-05-05,2026-06-06 03:59:38,Indicación
pedro lucas.da conceição@hotmail.com,pedro lucas.da conceição@hotmail.com,Pedro Lucas da Conceição,439.657.208-56,+5555679320115,CAMPINHO DIGITAL,RS,Siqueira de Barbosa,Mulher Cis,1997-12-13,2026-06-10 03:59:38,YouTube
